,model,obs,score
112,"Survival Tree, random oversampler",750,0.0939449836505149
113,"Survival Tree, SMOTENC",750,0.0894677691716222
114,"Random Survival Forest, unweighted",750,0.0581140512322154
115,"Random Survival Forest, random oversampler",750,0.053412003821615
116,"Random Survival Forest, SMOTENC",750,0.0498812685330843
117,Unweighted Cox PH,750,0.0351841429699218
118,"Cox PH, Barlow weights",750,0.0345041233790252
119,"Cox PH, Prentice weights",750,0.0314459114188975
120,"Cox PH, Self-Prentice weights",750,0.0329526109421644
121,"Cox PH Ridge, Barlow weights",750,0.0345041233790252
122,"Cox PH Lasso, Barlow weights",750,0.0345041233790252
123,"Cox PH Elastic Net, Barlow weights",750,0.0345041233790252
124,"Survival Tree, unweighted",750,0.0722070166400062
125,"Survival Tree, random oversampler",750,0.0790960494409903
126,"Survival Tree, SMOTENC",750,0.0623075216434453
127,"Random Survival Forest, unweighted",750,0.0519852692166265
128,"Random Survival Forest, random oversampler",750,0.0456313721978819
129,"Random Survival Forest, SMOTENC",750,0.0491300924786061
130,Unweighted Cox PH,750,0.0441945391659594
131,"Cox PH, Barlow weights",750,0.049416561967201
132,"Cox PH, Prentice weights",750,0.0440041374800143
133,"Cox PH, Self-Prentice weights",750,0.0415784167535431
134,"Cox PH Ridge, Barlow weights",750,0.049416561967201
135,"Cox PH Lasso, Barlow weights",750,0.049416561967201
136,"Cox PH Elastic Net, Barlow weights",750,0.049416561967201
137,"Survival Tree, unweighted",750,0.0775500660447984
138,"Survival Tree, random oversampler",750,0.0750675805140439
139,"Survival Tree, SMOTENC",750,0.0813835543057662
140,"Random Survival Forest, unweighted",750,0.0556061268451982
141,"Random Survival Forest, random oversampler",750,0.0493505510994776
142,"Random Survival Forest, SMOTENC",750,0.0498569277935432
143,Unweighted Cox PH,750,0.0494346810616578
144,"Cox PH, Barlow weights",750,0.0488967766275043
145,"Cox PH, Prentice weights",750,0.0479469901888075
146,"Cox PH, Self-Prentice weights",750,0.0506564715761091
147,"Cox PH Ridge, Barlow weights",750,0.0488967766275043
148,"Cox PH Lasso, Barlow weights",750,0.0488967766275043
149,"Cox PH Elastic Net, Barlow weights",750,0.0488967766275043
150,"Survival Tree, unweighted",750,0.0814934970156834
151,"Survival Tree, random oversampler",750,0.0861414326894676
152,"Survival Tree, SMOTENC",750,0.072529915417818
153,"Random Survival Forest, unweighted",750,0.0574651760215925
154,"Random Survival Forest, random oversampler",750,0.0527443637938916
