model,obs,score
"Cox PH Lasso, Barlow weights",750,0.962897527
"Cox PH Elastic Net, Barlow weights",750,0.962897527
"Survival Tree, unweighted",750,0.914180081
"Survival Tree, random oversampler",750,0.863990315
"Survival Tree, SMOTENC",750,0.86981416
"Random Survival Forest, unweighted",750,0.932076953
"Random Survival Forest, random oversampler",750,0.930179296
"Random Survival Forest, SMOTENC",750,0.918662479
Unweighted Cox PH,750,0.949976036
"Cox PH, Barlow weights",750,0.949976036
"Cox PH, Prentice weights",750,0.950275581
"Cox PH, Self-Prentice weights",750,0.951413851
"Cox PH Ridge, Barlow weights",750,0.949976036
"Cox PH Lasso, Barlow weights",750,0.949976036
"Cox PH Elastic Net, Barlow weights",750,0.949976036
"Survival Tree, unweighted",750,0.864755572
"Survival Tree, random oversampler",750,0.866103523
"Survival Tree, SMOTENC",750,0.892643182
"Random Survival Forest, unweighted",750,0.92721064
"Random Survival Forest, random oversampler",750,0.923196741
"Random Survival Forest, SMOTENC",750,0.929367362
Unweighted Cox PH,750,0.966204912
"Cox PH, Barlow weights",750,0.962791943
"Cox PH, Prentice weights",750,0.962457338
"Cox PH, Self-Prentice weights",750,0.964464967
"Cox PH Ridge, Barlow weights",750,0.962791943
"Cox PH Lasso, Barlow weights",750,0.962791943
"Cox PH Elastic Net, Barlow weights",750,0.962791943
"Survival Tree, unweighted",750,0.877333869
"Survival Tree, random oversampler",750,0.848858998
"Survival Tree, SMOTENC",750,0.854848424
"Random Survival Forest, unweighted",750,0.919828682
"Random Survival Forest, random oversampler",750,0.914675768
"Random Survival Forest, SMOTENC",750,0.908719802
Unweighted Cox PH,750,0.950276611
"Cox PH, Barlow weights",750,0.948743585
"Cox PH, Prentice weights",750,0.949276811
"Cox PH, Self-Prentice weights",750,0.950276611
"Cox PH Ridge, Barlow weights",750,0.948743585
"Cox PH Lasso, Barlow weights",750,0.948743585
"Cox PH Elastic Net, Barlow weights",750,0.948743585
"Survival Tree, unweighted",750,0.854829034
"Survival Tree, random oversampler",750,0.847863761
"Survival Tree, SMOTENC",750,0.847297207
"Random Survival Forest, unweighted",750,0.889755382
"Random Survival Forest, random oversampler",750,0.884689729
"Random Survival Forest, SMOTENC",750,0.872892088
Unweighted Cox PH,750,0.971707317
"Cox PH, Barlow weights",750,0.971158537
"Cox PH, Prentice weights",750,0.97054878
"Cox PH, Self-Prentice weights",750,0.971890244
"Cox PH Ridge, Barlow weights",750,0.971158537
"Cox PH Lasso, Barlow weights",750,0.971158537
"Cox PH Elastic Net, Barlow weights",750,0.971158537
"Survival Tree, unweighted",750,0.92277439
"Survival Tree, random oversampler",750,0.925304878
"Survival Tree, SMOTENC",750,0.910914634
"Random Survival Forest, unweighted",750,0.94847561
"Random Survival Forest, random oversampler",750,0.946219512
"Random Survival Forest, SMOTENC",750,0.934268293
Unweighted Cox PH,750,0.953834648
"Cox PH, Barlow weights",750,0.948531411
"Cox PH, Prentice weights",750,0.949619255
"Cox PH, Self-Prentice weights",750,0.952814795
"Cox PH Ridge, Barlow weights",750,0.948531411
"Cox PH Lasso, Barlow weights",750,0.948531411
"Cox PH Elastic Net, Barlow weights",750,0.948531411
"Survival Tree, unweighted",750,0.90110824
"Survival Tree, random oversampler",750,0.895499048
"Survival Tree, SMOTENC",750,0.875
"Random Survival Forest, unweighted",750,0.928202339
"Random Survival Forest, random oversampler",750,0.924870819
"Random Survival Forest, SMOTENC",750,0.922967093
Unweighted Cox PH,750,0.960733169
"Cox PH, Barlow weights",750,0.953612971
"Cox PH, Prentice weights",750,0.955375397
"Cox PH, Self-Prentice weights",750,0.958195277
"Cox PH Ridge, Barlow weights",750,0.953612971
"Cox PH Lasso, Barlow weights",750,0.953612971
"Cox PH Elastic Net, Barlow weights",750,0.953612971
"Survival Tree, unweighted",750,0.842509693
"Survival Tree, random oversampler",750,0.876454001
"Survival Tree, SMOTENC",750,0.841839972
"Random Survival Forest, unweighted",750,0.906027494
"Random Survival Forest, random oversampler",750,0.894254494
"Random Survival Forest, SMOTENC",750,0.869298555
Unweighted Cox PH,750,0.955866377
"Cox PH, Barlow weights",750,0.953761543
"Cox PH, Prentice weights",750,0.954440521
"Cox PH, Self-Prentice weights",750,0.952267789
"Cox PH Ridge, Barlow weights",750,0.953761543
"Cox PH Lasso, Barlow weights",750,0.953761543
"Cox PH Elastic Net, Barlow weights",750,0.953761543
"Survival Tree, unweighted",750,0.90928843
"Survival Tree, random oversampler",750,0.883351439
"Survival Tree, SMOTENC",750,0.82916893
"Random Survival Forest, unweighted",750,0.929046714
"Random Survival Forest, random oversampler",750,0.936040196
"Random Survival Forest, SMOTENC",750,0.918997827
Unweighted Cox PH,750,0.957637303
"Cox PH, Barlow weights",750,0.957156592
"Cox PH, Prentice weights",750,0.957036414
"Cox PH, Self-Prentice weights",750,0.956255258
"Cox PH Ridge, Barlow weights",750,0.957156592
