model,obs,score
"Survival Tree, random oversampler",750,0.883070866
"Survival Tree, SMOTENC",750,0.859284777
"Random Survival Forest, unweighted",750,0.910958005
"Random Survival Forest, random oversampler",750,0.899868766
"Random Survival Forest, SMOTENC",750,0.892388451
Unweighted Cox PH,750,0.964537105
"Cox PH, Barlow weights",750,0.958436683
"Cox PH, Prentice weights",750,0.958771871
"Cox PH, Self-Prentice weights",750,0.961922639
"Cox PH Ridge, Barlow weights",750,0.958436683
"Cox PH Lasso, Barlow weights",750,0.958436683
"Cox PH Elastic Net, Barlow weights",750,0.958436683
"Survival Tree, unweighted",750,0.884058457
"Survival Tree, random oversampler",750,0.881611584
"Survival Tree, SMOTENC",750,0.864651069
"Random Survival Forest, unweighted",750,0.932023865
"Random Survival Forest, random oversampler",750,0.930414963
"Random Survival Forest, SMOTENC",750,0.921700074
Unweighted Cox PH,750,0.9442795
"Cox PH, Barlow weights",750,0.940620037
"Cox PH, Prentice weights",750,0.94096527
"Cox PH, Self-Prentice weights",750,0.944210454
"Cox PH Ridge, Barlow weights",750,0.940620037
"Cox PH Lasso, Barlow weights",750,0.940620037
"Cox PH Elastic Net, Barlow weights",750,0.940620037
"Survival Tree, unweighted",750,0.856694055
"Survival Tree, random oversampler",750,0.836118208
"Survival Tree, SMOTENC",750,0.798729545
"Random Survival Forest, unweighted",750,0.916660913
"Random Survival Forest, random oversampler",750,0.911758614
"Random Survival Forest, SMOTENC",750,0.869502175
Unweighted Cox PH,750,0.972151899
"Cox PH, Barlow weights",750,0.972151899
"Cox PH, Prentice weights",750,0.971809784
"Cox PH, Self-Prentice weights",750,0.972015053
"Cox PH Ridge, Barlow weights",750,0.972151899
"Cox PH Lasso, Barlow weights",750,0.972151899
"Cox PH Elastic Net, Barlow weights",750,0.972151899
"Survival Tree, unweighted",750,0.936264112
"Survival Tree, random oversampler",750,0.899144714
"Survival Tree, SMOTENC",750,0.896270954
"Random Survival Forest, unweighted",750,0.959014711
"Random Survival Forest, random oversampler",750,0.956277797
"Random Survival Forest, SMOTENC",750,0.958125214
Unweighted Cox PH,750,0.95614331
"Cox PH, Barlow weights",750,0.953039606
"Cox PH, Prentice weights",750,0.954051683
"Cox PH, Self-Prentice weights",750,0.955266176
"Cox PH Ridge, Barlow weights",750,0.953039606
"Cox PH Lasso, Barlow weights",750,0.953039606
"Cox PH Elastic Net, Barlow weights",750,0.953039606
"Survival Tree, unweighted",750,0.890695635
"Survival Tree, random oversampler",750,0.86067067
"Survival Tree, SMOTENC",750,0.848357061
"Random Survival Forest, unweighted",750,0.932865529
"Random Survival Forest, random oversampler",750,0.921192902
"Random Survival Forest, SMOTENC",750,0.89973686
Unweighted Cox PH,750,0.952354221
"Cox PH, Barlow weights",750,0.9495474
"Cox PH, Prentice weights",750,0.950108764
"Cox PH, Self-Prentice weights",750,0.947301944
"Cox PH Ridge, Barlow weights",750,0.9495474
"Cox PH Lasso, Barlow weights",750,0.9495474
"Cox PH Elastic Net, Barlow weights",750,0.9495474
"Survival Tree, unweighted",750,0.892007578
"Survival Tree, random oversampler",750,0.869026735
"Survival Tree, SMOTENC",750,0.828994457
"Random Survival Forest, unweighted",750,0.938109606
"Random Survival Forest, random oversampler",750,0.92905761
"Random Survival Forest, SMOTENC",750,0.900638552
Unweighted Cox PH,750,0.96355381
"Cox PH, Barlow weights",750,0.962510738
"Cox PH, Prentice weights",750,0.962510738
"Cox PH, Self-Prentice weights",750,0.96355381
"Cox PH Ridge, Barlow weights",750,0.962510738
"Cox PH Lasso, Barlow weights",750,0.962510738
"Cox PH Elastic Net, Barlow weights",750,0.962510738
"Survival Tree, unweighted",750,0.896889189
"Survival Tree, random oversampler",750,0.910847957
"Survival Tree, SMOTENC",750,0.881427169
"Random Survival Forest, unweighted",750,0.927721193
"Random Survival Forest, random oversampler",750,0.917904037
"Random Survival Forest, SMOTENC",750,0.921524113
Unweighted Cox PH,750,0.963841312
"Cox PH, Barlow weights",750,0.962450593
"Cox PH, Prentice weights",750,0.96318255
"Cox PH, Self-Prentice weights",750,0.963109354
"Cox PH Ridge, Barlow weights",750,0.962450593
"Cox PH Lasso, Barlow weights",750,0.962450593
"Cox PH Elastic Net, Barlow weights",750,0.962450593
"Survival Tree, unweighted",750,0.924645001
"Survival Tree, random oversampler",750,0.901332162
"Survival Tree, SMOTENC",750,0.857487923
"Random Survival Forest, unweighted",750,0.946201142
"Random Survival Forest, random oversampler",750,0.9434929
"Random Survival Forest, SMOTENC",750,0.931415605
Unweighted Cox PH,750,0.96878357
"Cox PH, Barlow weights",750,0.961832543
"Cox PH, Prentice weights",750,0.962654028
"Cox PH, Self-Prentice weights",750,0.962401264
"Cox PH Ridge, Barlow weights",750,0.961832543
"Cox PH Lasso, Barlow weights",750,0.961832543
"Cox PH Elastic Net, Barlow weights",750,0.961832543
"Survival Tree, unweighted",750,0.877061611
"Survival Tree, random oversampler",750,0.87892575
"Survival Tree, SMOTENC",750,0.864075829
"Random Survival Forest, unweighted",750,0.933459716
"Random Survival Forest, random oversampler",750,0.932890995
"Random Survival Forest, SMOTENC",750,0.927266983
Unweighted Cox PH,750,0.948757465
"Cox PH, Barlow weights",750,0.948243755
"Cox PH, Prentice weights",750,0.948051114
"Cox PH, Self-Prentice weights",750,0.944583574
"Cox PH Ridge, Barlow weights",750,0.948243755
"Cox PH Lasso, Barlow weights",750,0.948243755
"Cox PH Elastic Net, Barlow weights",750,0.948243755
"Survival Tree, unweighted",750,0.892153085
"Survival Tree, random oversampler",750,0.859436204
"Survival Tree, SMOTENC",750,0.760514994
"Random Survival Forest, unweighted",750,0.913247287
"Random Survival Forest, random oversampler",750,0.899890837
"Random Survival Forest, SMOTENC",750,0.868747191
Unweighted Cox PH,750,0.960394199
"Cox PH, Barlow weights",750,0.960394199
"Cox PH, Prentice weights",750,0.960580141
"Cox PH, Self-Prentice weights",750,0.960890046
"Cox PH Ridge, Barlow weights",750,0.960394199
"Cox PH Lasso, Barlow weights",750,0.960394199
"Cox PH Elastic Net, Barlow weights",750,0.960394199
"Survival Tree, unweighted",750,0.873403992
"Survival Tree, random oversampler",750,0.875883228
"Survival Tree, SMOTENC",750,0.88691583
"Random Survival Forest, unweighted",750,0.93665551
"Random Survival Forest, random oversampler",750,0.936035701
"Random Survival Forest, SMOTENC",750,0.925127061
Unweighted Cox PH,750,0.944293748
"Cox PH, Barlow weights",750,0.944823023
"Cox PH, Prentice weights",750,0.945087661
"Cox PH, Self-Prentice weights",750,0.944955342
"Cox PH Ridge, Barlow weights",750,0.944823023
"Cox PH Lasso, Barlow weights",750,0.944823023
"Cox PH Elastic Net, Barlow weights",750,0.944823023
"Survival Tree, unweighted",750,0.895666556
"Survival Tree, random oversampler",750,0.893615614
"Survival Tree, SMOTENC",750,0.836089977
"Random Survival Forest, unweighted",750,0.912537215
"Random Survival Forest, random oversampler",750,0.910221634
"Random Survival Forest, SMOTENC",750,0.88686735
Unweighted Cox PH,750,0.940065027
"Cox PH, Barlow weights",750,0.935832158
"Cox PH, Prentice weights",750,0.936016195
"Cox PH, Self-Prentice weights",750,0.937059076
"Cox PH Ridge, Barlow weights",750,0.935832158
"Cox PH Lasso, Barlow weights",750,0.935832158
"Cox PH Elastic Net, Barlow weights",750,0.935832158
"Survival Tree, unweighted",750,0.892429912
"Survival Tree, random oversampler",750,0.848966321
"Survival Tree, SMOTENC",750,0.863198577
"Random Survival Forest, unweighted",750,0.920679713
"Random Survival Forest, random oversampler",750,0.923562972
"Random Survival Forest, SMOTENC",750,0.913502239
Unweighted Cox PH,750,0.963351092
"Cox PH, Barlow weights",750,0.962121656
"Cox PH, Prentice weights",750,0.961653299
"Cox PH, Self-Prentice weights",750,0.961419121
"Cox PH Ridge, Barlow weights",750,0.962121656
"Cox PH Lasso, Barlow weights",750,0.962121656
"Cox PH Elastic Net, Barlow weights",750,0.962121656
"Survival Tree, unweighted",750,0.914349277
"Survival Tree, random oversampler",750,0.916573971
"Survival Tree, SMOTENC",750,0.833674843
"Random Survival Forest, unweighted",750,0.938235466
"Random Survival Forest, random oversampler",750,0.936947486
"Random Survival Forest, SMOTENC",750,0.912183127
Unweighted Cox PH,750,0.95608219
"Cox PH, Barlow weights",750,0.956213484
"Cox PH, Prentice weights",750,0.956279131
"Cox PH, Self-Prentice weights",750,0.954375369
"Cox PH Ridge, Barlow weights",750,0.956213484
"Cox PH Lasso, Barlow weights",750,0.956213484
"Cox PH Elastic Net, Barlow weights",750,0.956213484
"Survival Tree, unweighted",750,0.891321473
"Survival Tree, random oversampler",750,0.88288584
"Survival Tree, SMOTENC",750,0.877995142
"Random Survival Forest, unweighted",750,0.907109565
"Random Survival Forest, random oversampler",750,0.899428872
"Random Survival Forest, SMOTENC",750,0.875073853
Unweighted Cox PH,750,0.951028882
"Cox PH, Barlow weights",750,0.945105941
"Cox PH, Prentice weights",750,0.94602186
"Cox PH, Self-Prentice weights",750,0.940282103
"Cox PH Ridge, Barlow weights",750,0.945105941
"Cox PH Lasso, Barlow weights",750,0.945105941
"Cox PH Elastic Net, Barlow weights",750,0.945105941
"Survival Tree, unweighted",750,0.883403554
"Survival Tree, random oversampler",750,0.879037675
"Survival Tree, SMOTENC",750,0.816297246
"Random Survival Forest, unweighted",750,0.915674421
"Random Survival Forest, random oversampler",750,0.911766502
"Random Survival Forest, SMOTENC",750,0.888074739
Unweighted Cox PH,750,0.964192975
"Cox PH, Barlow weights",750,0.966721334
"Cox PH, Prentice weights",750,0.966106328
"Cox PH, Self-Prentice weights",750,0.965696324
"Cox PH Ridge, Barlow weights",750,0.966721334
"Cox PH Lasso, Barlow weights",750,0.966721334
"Cox PH Elastic Net, Barlow weights",750,0.966721334
"Survival Tree, unweighted",750,0.900710674
"Survival Tree, random oversampler",750,0.883695504
"Survival Tree, SMOTENC",750,0.857045237
"Random Survival Forest, unweighted",750,0.923260899
"Random Survival Forest, random oversampler",750,0.913352467
"Random Survival Forest, SMOTENC",750,0.911302446
Unweighted Cox PH,750,0.953884906
"Cox PH, Barlow weights",750,0.95679132
"Cox PH, Prentice weights",750,0.956532972
"Cox PH, Self-Prentice weights",750,0.953561971
"Cox PH Ridge, Barlow weights",750,0.95679132
"Cox PH Lasso, Barlow weights",750,0.95679132
"Cox PH Elastic Net, Barlow weights",750,0.95679132
"Survival Tree, unweighted",750,0.875444035
"Survival Tree, random oversampler",750,0.869340567
"Survival Tree, SMOTENC",750,0.84702577
"Random Survival Forest, unweighted",750,0.917199509
"Random Survival Forest, random oversampler",750,0.909190725
"Random Survival Forest, SMOTENC",750,0.907511464
Unweighted Cox PH,750,0.956030709
"Cox PH, Barlow weights",750,0.952477635
"Cox PH, Prentice weights",750,0.952667978
"Cox PH, Self-Prentice weights",750,0.953365903
"Cox PH Ridge, Barlow weights",750,0.952477635
"Cox PH Lasso, Barlow weights",750,0.952477635
"Cox PH Elastic Net, Barlow weights",750,0.952477635
"Survival Tree, unweighted",750,0.877672737
"Survival Tree, random oversampler",750,0.844743354
"Survival Tree, SMOTENC",750,0.896770509
"Random Survival Forest, unweighted",750,0.92354546
"Random Survival Forest, random oversampler",750,0.916756551
"Random Survival Forest, SMOTENC",750,0.920880655
Unweighted Cox PH,750,0.967028466
"Cox PH, Barlow weights",750,0.965867977
"Cox PH, Prentice weights",750,0.965731449
"Cox PH, Self-Prentice weights",750,0.966960202
"Cox PH Ridge, Barlow weights",750,0.965867977
"Cox PH Lasso, Barlow weights",750,0.965867977
"Cox PH Elastic Net, Barlow weights",750,0.965867977
"Survival Tree, unweighted",750,0.908253123
"Survival Tree, random oversampler",750,0.860604819
"Survival Tree, SMOTENC",750,0.88306369
"Random Survival Forest, unweighted",750,0.935558741
"Random Survival Forest, random oversampler",750,0.928732337
"Random Survival Forest, SMOTENC",750,0.925319134
Unweighted Cox PH,750,0.959083989
"Cox PH, Barlow weights",750,0.953755392
"Cox PH, Prentice weights",750,0.954643491
"Cox PH, Self-Prentice weights",750,0.956673433
"Cox PH Ridge, Barlow weights",750,0.953755392
"Cox PH Lasso, Barlow weights",750,0.953755392
"Cox PH Elastic Net, Barlow weights",750,0.953755392
"Survival Tree, unweighted",750,0.896663283
"Survival Tree, random oversampler",750,0.891715301
"Survival Tree, SMOTENC",750,0.892888861
"Random Survival Forest, unweighted",750,0.944240041
"Random Survival Forest, random oversampler",750,0.940243593
"Random Survival Forest, SMOTENC",750,0.934661253
Unweighted Cox PH,750,0.962438465
"Cox PH, Barlow weights",750,0.958459775
"Cox PH, Prentice weights",750,0.96001079
"Cox PH, Self-Prentice weights",750,0.958055162
"Cox PH Ridge, Barlow weights",750,0.958459775
"Cox PH Lasso, Barlow weights",750,0.958459775
"Cox PH Elastic Net, Barlow weights",750,0.958459775
"Survival Tree, unweighted",750,0.907748331
"Survival Tree, random oversampler",750,0.89004653
"Survival Tree, SMOTENC",750,0.895542518
"Random Survival Forest, unweighted",750,0.936880437
"Random Survival Forest, random oversampler",750,0.931620473
"Random Survival Forest, SMOTENC",750,0.932429699
Unweighted Cox PH,750,0.948825065
"Cox PH, Barlow weights",750,0.945633885
"Cox PH, Prentice weights",750,0.946098056
"Cox PH, Self-Prentice weights",750,0.946678271
"Cox PH Ridge, Barlow weights",750,0.945633885
"Cox PH Lasso, Barlow weights",750,0.945633885
"Cox PH Elastic Net, Barlow weights",750,0.945633885
"Survival Tree, unweighted",750,0.845343777
"Survival Tree, random oversampler",750,0.853234697
"Survival Tree, SMOTENC",750,0.86681172
"Random Survival Forest, unweighted",750,0.929968088
"Random Survival Forest, random oversampler",750,0.920104439
"Random Survival Forest, SMOTENC",750,0.910762982
Unweighted Cox PH,750,0.961960944
"Cox PH, Barlow weights",750,0.963656089
"Cox PH, Prentice weights",750,0.96413073
"Cox PH, Self-Prentice weights",750,0.961689721
"Cox PH Ridge, Barlow weights",750,0.963656089
"Cox PH Lasso, Barlow weights",750,0.963656089
"Cox PH Elastic Net, Barlow weights",750,0.963656089
"Survival Tree, unweighted",750,0.873609981
"Survival Tree, random oversampler",750,0.884899647
"Survival Tree, SMOTENC",750,0.83201112
"Random Survival Forest, unweighted",750,0.930363439
"Random Survival Forest, random oversampler",750,0.918294006
"Random Survival Forest, SMOTENC",750,0.897748847
Unweighted Cox PH,750,0.966570784
"Cox PH, Barlow weights",750,0.965482391
"Cox PH, Prentice weights",750,0.966570784
"Cox PH, Self-Prentice weights",750,0.965948846
"Cox PH Ridge, Barlow weights",750,0.965482391
"Cox PH Lasso, Barlow weights",750,0.965482391
"Cox PH Elastic Net, Barlow weights",750,0.965482391
"Survival Tree, unweighted",750,0.896291689
"Survival Tree, random oversampler",750,0.907758688
"Survival Tree, SMOTENC",750,0.86371764
"Random Survival Forest, unweighted",750,0.930576071
"Random Survival Forest, random oversampler",750,0.927544119
"Random Survival Forest, SMOTENC",750,0.916038249
Unweighted Cox PH,750,0.947828121
"Cox PH, Barlow weights",750,0.94572253
"Cox PH, Prentice weights",750,0.947048273
"Cox PH, Self-Prentice weights",750,0.946502379
"Cox PH Ridge, Barlow weights",750,0.94572253
"Cox PH Lasso, Barlow weights",750,0.94572253
"Cox PH Elastic Net, Barlow weights",750,0.94572253
"Survival Tree, unweighted",750,0.912033066
"Survival Tree, random oversampler",750,0.91211105
"Survival Tree, SMOTENC",750,0.864423302
"Random Survival Forest, unweighted",750,0.919051704
"Random Survival Forest, random oversampler",750,0.91515246
"Random Survival Forest, SMOTENC",750,0.893706621
Unweighted Cox PH,750,0.956012568
"Cox PH, Barlow weights",750,0.95944016
"Cox PH, Prentice weights",750,0.959154527
"Cox PH, Self-Prentice weights",750,0.957797772
"Cox PH Ridge, Barlow weights",750,0.95944016
"Cox PH Lasso, Barlow weights",750,0.95944016
"Cox PH Elastic Net, Barlow weights",750,0.95944016
"Survival Tree, unweighted",750,0.879070266
"Survival Tree, random oversampler",750,0.862860611
"Survival Tree, SMOTENC",750,0.772100828
"Random Survival Forest, unweighted",750,0.92159383
"Random Survival Forest, random oversampler",750,0.913881748
"Random Survival Forest, SMOTENC",750,0.901742359
Unweighted Cox PH,750,0.956864149
"Cox PH, Barlow weights",750,0.949645009
"Cox PH, Prentice weights",750,0.951196229
"Cox PH, Self-Prentice weights",750,0.954656643
"Cox PH Ridge, Barlow weights",750,0.949645009
"Cox PH Lasso, Barlow weights",750,0.949645009
"Cox PH Elastic Net, Barlow weights",750,0.949645009
"Survival Tree, unweighted",750,0.876558678
"Survival Tree, random oversampler",750,0.88899827
"Survival Tree, SMOTENC",750,0.857407076
"Random Survival Forest, unweighted",750,0.916293777
"Random Survival Forest, random oversampler",750,0.906509158
"Random Survival Forest, SMOTENC",750,0.906091522
Unweighted Cox PH,750,0.949472515
"Cox PH, Barlow weights",750,0.948520663
"Cox PH, Prentice weights",750,0.94907591
"Cox PH, Self-Prentice weights",750,0.948124058
"Cox PH Ridge, Barlow weights",750,0.948520663
"Cox PH Lasso, Barlow weights",750,0.948520663
"Cox PH Elastic Net, Barlow weights",750,0.948520663
"Survival Tree, unweighted",750,0.873958912
"Survival Tree, random oversampler",750,0.844451495
"Survival Tree, SMOTENC",750,0.83310859
"Random Survival Forest, unweighted",750,0.90592528
"Random Survival Forest, random oversampler",750,0.902355834
"Random Survival Forest, SMOTENC",750,0.874514159
Unweighted Cox PH,750,0.965742034
"Cox PH, Barlow weights",750,0.967072441
"Cox PH, Prentice weights",750,0.9669394
"Cox PH, Self-Prentice weights",750,0.967405042
"Cox PH Ridge, Barlow weights",750,0.967072441
"Cox PH Lasso, Barlow weights",750,0.967072441
"Cox PH Elastic Net, Barlow weights",750,0.967072441
"Survival Tree, unweighted",750,0.912692077
"Survival Tree, random oversampler",750,0.89047429
"Survival Tree, SMOTENC",750,0.885119404
"Random Survival Forest, unweighted",750,0.944788133
"Random Survival Forest, random oversampler",750,0.939266946
"Random Survival Forest, SMOTENC",750,0.932614914
Unweighted Cox PH,750,0.97478935
"Cox PH, Barlow weights",750,0.973980452
"Cox PH, Prentice weights",750,0.97512639
"Cox PH, Self-Prentice weights",750,0.975733064
"Cox PH Ridge, Barlow weights",750,0.973980452
"Cox PH Lasso, Barlow weights",750,0.973980452
"Cox PH Elastic Net, Barlow weights",750,0.973980452
"Survival Tree, unweighted",750,0.932794068
"Survival Tree, random oversampler",750,0.896595888
"Survival Tree, SMOTENC",750,0.918874284
"Random Survival Forest, unweighted",750,0.960633637
"Random Survival Forest, random oversampler",750,0.96016178
"Random Survival Forest, SMOTENC",750,0.955847658
Unweighted Cox PH,750,0.947920382
"Cox PH, Barlow weights",750,0.945494756
"Cox PH, Prentice weights",750,0.946636227
"Cox PH, Self-Prentice weights",750,0.945494756
"Cox PH Ridge, Barlow weights",750,0.945494756
"Cox PH Lasso, Barlow weights",750,0.945494756
"Cox PH Elastic Net, Barlow weights",750,0.945494756
"Survival Tree, unweighted",750,0.87693515
"Survival Tree, random oversampler",750,0.863558536
"Survival Tree, SMOTENC",750,0.806841692
"Random Survival Forest, unweighted",750,0.906542056
"Random Survival Forest, random oversampler",750,0.901048727
"Random Survival Forest, SMOTENC",750,0.889277306
Unweighted Cox PH,750,0.970309228
"Cox PH, Barlow weights",750,0.964950105
"Cox PH, Prentice weights",750,0.965627695
"Cox PH, Self-Prentice weights",750,0.96322533
"Cox PH Ridge, Barlow weights",750,0.964950105
"Cox PH Lasso, Barlow weights",750,0.964950105
"Cox PH Elastic Net, Barlow weights",750,0.964950105
"Survival Tree, unweighted",750,0.928052236
"Survival Tree, random oversampler",750,0.942096834
"Survival Tree, SMOTENC",750,0.928914624
"Random Survival Forest, unweighted",750,0.943883208
"Random Survival Forest, random oversampler",750,0.940556856
"Random Survival Forest, SMOTENC",750,0.943144019
Unweighted Cox PH,750,0.970676043
"Cox PH, Barlow weights",750,0.970410668
"Cox PH, Prentice weights",750,0.971074106
"Cox PH, Self-Prentice weights",750,0.969813574
"Cox PH Ridge, Barlow weights",750,0.970410668
"Cox PH Lasso, Barlow weights",750,0.970410668
"Cox PH Elastic Net, Barlow weights",750,0.970410668
"Survival Tree, unweighted",750,0.936210443
"Survival Tree, random oversampler",750,0.912326677
"Survival Tree, SMOTENC",750,0.911298348
"Random Survival Forest, unweighted",750,0.94911431
"Random Survival Forest, random oversampler",750,0.942678962
"Random Survival Forest, SMOTENC",750,0.944337557
Unweighted Cox PH,750,0.95798821
"Cox PH, Barlow weights",750,0.956570405
"Cox PH, Prentice weights",750,0.957167376
"Cox PH, Self-Prentice weights",750,0.958958287
"Cox PH Ridge, Barlow weights",750,0.956570405
"Cox PH Lasso, Barlow weights",750,0.956570405
"Cox PH Elastic Net, Barlow weights",750,0.956570405
"Survival Tree, unweighted",750,0.904410119
"Survival Tree, random oversampler",750,0.885120513
"Survival Tree, SMOTENC",750,0.843295276
"Random Survival Forest, unweighted",750,0.932990075
"Random Survival Forest, random oversampler",750,0.91888665
"Random Survival Forest, SMOTENC",750,0.910081337
Unweighted Cox PH,750,0.961545025
"Cox PH, Barlow weights",750,0.957335457
"Cox PH, Prentice weights",750,0.957961204
"Cox PH, Self-Prentice weights",750,0.955685761
"Cox PH Ridge, Barlow weights",750,0.957335457
"Cox PH Lasso, Barlow weights",750,0.957335457
"Cox PH Elastic Net, Barlow weights",750,0.957335457
"Survival Tree, unweighted",750,0.916576597
"Survival Tree, random oversampler",750,0.903891006
"Survival Tree, SMOTENC",750,0.843876216
"Random Survival Forest, unweighted",750,0.931793617
"Random Survival Forest, random oversampler",750,0.927697821
"Random Survival Forest, SMOTENC",750,0.916548154
Unweighted Cox PH,750,0.957876948
"Cox PH, Barlow weights",750,0.955122989
"Cox PH, Prentice weights",750,0.955310759
"Cox PH, Self-Prentice weights",750,0.955122989
"Cox PH Ridge, Barlow weights",750,0.955122989
"Cox PH Lasso, Barlow weights",750,0.955122989
"Cox PH Elastic Net, Barlow weights",750,0.955122989
"Survival Tree, unweighted",750,0.884177255
"Survival Tree, random oversampler",750,0.877949552
"Survival Tree, SMOTENC",750,0.872817175
"Random Survival Forest, unweighted",750,0.90755461
"Random Survival Forest, random oversampler",750,0.905551731
"Random Survival Forest, SMOTENC",750,0.886899919
Unweighted Cox PH,750,0.957854667
"Cox PH, Barlow weights",750,0.956359187
"Cox PH, Prentice weights",750,0.956427163
"Cox PH, Self-Prentice weights",750,0.955067636
"Cox PH Ridge, Barlow weights",750,0.956359187
"Cox PH Lasso, Barlow weights",750,0.956359187
"Cox PH Elastic Net, Barlow weights",750,0.956359187
"Survival Tree, unweighted",750,0.900788526
"Survival Tree, random oversampler",750,0.872034532
"Survival Tree, SMOTENC",750,0.840187615
"Random Survival Forest, unweighted",750,0.924274353
"Random Survival Forest, random oversampler",750,0.913670043
"Random Survival Forest, SMOTENC",750,0.900686561
Unweighted Cox PH,750,0.961702705
"Cox PH, Barlow weights",750,0.959533654
"Cox PH, Prentice weights",750,0.959872568
"Cox PH, Self-Prentice weights",750,0.960889311
"Cox PH Ridge, Barlow weights",750,0.959533654
"Cox PH Lasso, Barlow weights",750,0.959533654
"Cox PH Elastic Net, Barlow weights",750,0.959533654
"Survival Tree, unweighted",750,0.88646377
"Survival Tree, random oversampler",750,0.889649563
"Survival Tree, SMOTENC",750,0.86677286
"Random Survival Forest, unweighted",750,0.934725141
"Random Survival Forest, random oversampler",750,0.928353555
"Random Survival Forest, SMOTENC",750,0.919202874
Unweighted Cox PH,750,0.960300926
"Cox PH, Barlow weights",750,0.959375
"Cox PH, Prentice weights",750,0.959780093
"Cox PH, Self-Prentice weights",750,0.958506944
"Cox PH Ridge, Barlow weights",750,0.959375
"Cox PH Lasso, Barlow weights",750,0.959375
"Cox PH Elastic Net, Barlow weights",750,0.959375
"Survival Tree, unweighted",750,0.892679398
"Survival Tree, random oversampler",750,0.889756944
"Survival Tree, SMOTENC",750,0.874710648
"Random Survival Forest, unweighted",750,0.933854167
"Random Survival Forest, random oversampler",750,0.925405093
"Random Survival Forest, SMOTENC",750,0.929976852
Unweighted Cox PH,750,0.955927892
"Cox PH, Barlow weights",750,0.940665782
"Cox PH, Prentice weights",750,0.942877682
"Cox PH, Self-Prentice weights",750,0.952388852
"Cox PH Ridge, Barlow weights",750,0.940665782
"Cox PH Lasso, Barlow weights",750,0.940665782
"Cox PH Elastic Net, Barlow weights",750,0.940665782
"Survival Tree, unweighted",750,0.867313647
"Survival Tree, random oversampler",750,0.86947025
"Survival Tree, SMOTENC",750,0.864078744
"Random Survival Forest, unweighted",750,0.934306569
"Random Survival Forest, random oversampler",750,0.923744747
"Random Survival Forest, SMOTENC",750,0.928887414
Unweighted Cox PH,750,0.951525659
"Cox PH, Barlow weights",750,0.95
"Cox PH, Prentice weights",750,0.949930652
"Cox PH, Self-Prentice weights",750,0.949861304
"Cox PH Ridge, Barlow weights",750,0.95
"Cox PH Lasso, Barlow weights",750,0.95
"Cox PH Elastic Net, Barlow weights",750,0.95
"Survival Tree, unweighted",750,0.871289875
"Survival Tree, random oversampler",750,0.847815534
"Survival Tree, SMOTENC",750,0.800901526
"Random Survival Forest, unweighted",750,0.920873786
"Random Survival Forest, random oversampler",750,0.914701803
"Random Survival Forest, SMOTENC",750,0.899583911
Unweighted Cox PH,750,0.963329417
"Cox PH, Barlow weights",750,0.959309876
"Cox PH, Prentice weights",750,0.959804588
"Cox PH, Self-Prentice weights",750,0.957331025
"Cox PH Ridge, Barlow weights",750,0.959309876
"Cox PH Lasso, Barlow weights",750,0.959309876
"Cox PH Elastic Net, Barlow weights",750,0.959309876
"Survival Tree, unweighted",750,0.887885721
"Survival Tree, random oversampler",750,0.891626987
"Survival Tree, SMOTENC",750,0.879846639
"Random Survival Forest, unweighted",750,0.932162513
"Random Survival Forest, random oversampler",750,0.915527797
"Random Survival Forest, SMOTENC",750,0.889988251
Unweighted Cox PH,750,0.954993065
"Cox PH, Barlow weights",750,0.953467406
"Cox PH, Prentice weights",750,0.953744799
"Cox PH, Self-Prentice weights",750,0.954715673
"Cox PH Ridge, Barlow weights",750,0.953467406
"Cox PH Lasso, Barlow weights",750,0.953467406
"Cox PH Elastic Net, Barlow weights",750,0.953467406
"Survival Tree, unweighted",750,0.880062413
"Survival Tree, random oversampler",750,0.818619972
"Survival Tree, SMOTENC",750,0.835471567
"Random Survival Forest, unweighted",750,0.914147018
"Random Survival Forest, random oversampler",750,0.909084605
"Random Survival Forest, SMOTENC",750,0.894937587
Unweighted Cox PH,750,0.947101404
"Cox PH, Barlow weights",750,0.943265483
"Cox PH, Prentice weights",750,0.943018004
"Cox PH, Self-Prentice weights",750,0.945183444
"Cox PH Ridge, Barlow weights",750,0.943265483
"Cox PH Lasso, Barlow weights",750,0.943265483
"Cox PH Elastic Net, Barlow weights",750,0.943265483
"Survival Tree, unweighted",750,0.859060818
"Survival Tree, random oversampler",750,0.854606199
"Survival Tree, SMOTENC",750,0.845480418
"Random Survival Forest, unweighted",750,0.906081792
"Random Survival Forest, random oversampler",750,0.896182639
"Random Survival Forest, SMOTENC",750,0.880282126
Unweighted Cox PH,750,0.955458787
"Cox PH, Barlow weights",750,0.952659409
"Cox PH, Prentice weights",750,0.952908243
"Cox PH, Self-Prentice weights",750,0.952783826
"Cox PH Ridge, Barlow weights",750,0.952659409
"Cox PH Lasso, Barlow weights",750,0.952659409
"Cox PH Elastic Net, Barlow weights",750,0.952659409
"Survival Tree, unweighted",750,0.891228616
"Survival Tree, random oversampler",750,0.875738725
"Survival Tree, SMOTENC",750,0.901088647
"Random Survival Forest, unweighted",750,0.939844479
"Random Survival Forest, random oversampler",750,0.934494557
"Random Survival Forest, SMOTENC",750,0.924479005
Unweighted Cox PH,750,0.971788134
"Cox PH, Barlow weights",750,0.970750933
"Cox PH, Prentice weights",750,0.971442401
"Cox PH, Self-Prentice weights",750,0.970889227
"Cox PH Ridge, Barlow weights",750,0.970750933
