,model,obs,score
112,"Survival Tree, random oversampler",750,0.0789531816537411
113,"Survival Tree, SMOTENC",750,0.0672654918308562
114,"Random Survival Forest, unweighted",750,0.0597211158224631
115,"Random Survival Forest, random oversampler",750,0.0475248107710178
116,"Random Survival Forest, SMOTENC",750,0.0559813573039717
117,Unweighted Cox PH,750,0.0927408161666738
118,"Cox PH, Barlow weights",750,0.0804557262226802
119,"Cox PH, Prentice weights",750,0.0846771024941894
120,"Cox PH, Self-Prentice weights",750,0.0782354107292997
121,"Cox PH Ridge, Barlow weights",750,0.0849557653024853
122,"Cox PH Lasso, Barlow weights",750,0.0804557262226802
123,"Cox PH Elastic Net, Barlow weights",750,0.0804557262226802
124,"Survival Tree, unweighted",750,0.063816100367963
125,"Survival Tree, random oversampler",750,0.0641879086952033
126,"Survival Tree, SMOTENC",750,0.0624731376613922
127,"Random Survival Forest, unweighted",750,0.048074891039145
128,"Random Survival Forest, random oversampler",750,0.0424099085405939
129,"Random Survival Forest, SMOTENC",750,0.0461887424053706
130,Unweighted Cox PH,750,0.1097401192837355
131,"Cox PH, Barlow weights",750,0.0908307615134079
132,"Cox PH, Prentice weights",750,0.0979529818240242
133,"Cox PH, Self-Prentice weights",750,0.0829639992741604
134,"Cox PH Ridge, Barlow weights",750,0.0908307615134079
135,"Cox PH Lasso, Barlow weights",750,0.0908307615134079
136,"Cox PH Elastic Net, Barlow weights",750,0.0908307615134079
137,"Survival Tree, unweighted",750,0.0785063388610739
138,"Survival Tree, random oversampler",750,0.0790307232302852
139,"Survival Tree, SMOTENC",750,0.080781064747168
140,"Random Survival Forest, unweighted",750,0.0639090185327069
141,"Random Survival Forest, random oversampler",750,0.0586107925285025
142,"Random Survival Forest, SMOTENC",750,0.0628362683356837
143,Unweighted Cox PH,750,0.1015941693248297
144,"Cox PH, Barlow weights",750,0.0673619003888223
145,"Cox PH, Prentice weights",750,0.0878483445464059
146,"Cox PH, Self-Prentice weights",750,0.0772797809748898
147,"Cox PH Ridge, Barlow weights",750,0.0673619003888223
148,"Cox PH Lasso, Barlow weights",750,0.0673619003888223
149,"Cox PH Elastic Net, Barlow weights",750,0.0673619003888223
150,"Survival Tree, unweighted",750,0.0791056053817869
151,"Survival Tree, random oversampler",750,0.0657861009807727
152,"Survival Tree, SMOTENC",750,0.0793325965781124
153,"Random Survival Forest, unweighted",750,0.0537726881109046
154,"Random Survival Forest, random oversampler",750,0.0486298292648444
155,"Random Survival Forest, SMOTENC",750,0.0518561914972172
156,Unweighted Cox PH,750,0.1108909647357827
157,"Cox PH, Barlow weights",750,0.0949525870615672
158,"Cox PH, Prentice weights",750,0.1007094614642247
159,"Cox PH, Self-Prentice weights",750,0.07796853598014
160,"Cox PH Ridge, Barlow weights",750,0.0949525870615672
161,"Cox PH Lasso, Barlow weights",750,0.0949525870615672
162,"Cox PH Elastic Net, Barlow weights",750,0.0949525870615672
163,"Survival Tree, unweighted",750,0.0759095730537885
164,"Survival Tree, random oversampler",750,0.0662699021453622
165,"Survival Tree, SMOTENC",750,0.0770948578341852
166,"Random Survival Forest, unweighted",750,0.0614448847519965
167,"Random Survival Forest, random oversampler",750,0.050998235049755
168,"Random Survival Forest, SMOTENC",750,0.0567888212892664
169,Unweighted Cox PH,750,0.1039440510417713
170,"Cox PH, Barlow weights",750,0.085389403467708
171,"Cox PH, Prentice weights",750,0.0912364774519917
172,"Cox PH, Self-Prentice weights",750,0.0748548536515726
173,"Cox PH Ridge, Barlow weights",750,0.085389403467708
