,model,obs,score
112,"Survival Tree, random oversampler",750,0.0198712626027664
113,"Survival Tree, SMOTE",750,0.0199221229625375
114,"Random Survival Forest, unweighted",750,0.0163437883364216
115,"Random Survival Forest, random oversampler",750,0.0165961042726791
116,"Random Survival Forest, SMOTE",750,0.016832554325115
117,Unweighted Cox PH,750,0.0450225078766411
118,"Cox PH, Barlow weights",750,0.0668545341715912
119,"Cox PH, Prentice weights",750,0.0400098865285624
120,"Cox PH, Self-Prentice weights",750,0.0406526827355354
121,"Cox PH Ridge, Barlow weights",750,0.0668545341715912
122,"Cox PH Lasso, Barlow weights",750,0.0668545341715912
123,"Cox PH Elastic Net, Barlow weights",750,0.0668545341715912
124,"Survival Tree, unweighted",750,0.0290910747785921
125,"Survival Tree, random oversampler",750,0.0268470920753633
126,"Survival Tree, SMOTE",750,0.031838959784601
127,"Random Survival Forest, unweighted",750,0.0219114456971903
128,"Random Survival Forest, random oversampler",750,0.0209548697010261
129,"Random Survival Forest, SMOTE",750,0.0239542746669742
130,Unweighted Cox PH,750,0.0759890814403205
131,"Cox PH, Barlow weights",750,0.0721352186176485
132,"Cox PH, Prentice weights",750,0.0668388385398814
133,"Cox PH, Self-Prentice weights",750,0.0602315260284359
134,"Cox PH Ridge, Barlow weights",750,0.0721352186176485
135,"Cox PH Lasso, Barlow weights",750,0.0721352186176485
136,"Cox PH Elastic Net, Barlow weights",750,0.0721352186176485
137,"Survival Tree, unweighted",750,0.0317250281233468
138,"Survival Tree, random oversampler",750,0.0287205386775902
139,"Survival Tree, SMOTE",750,0.0330775276014304
140,"Random Survival Forest, unweighted",750,0.0264010592731312
141,"Random Survival Forest, random oversampler",750,0.0247299180547914
142,"Random Survival Forest, SMOTE",750,0.026378120488964
143,Unweighted Cox PH,750,0.0911138718844382
144,"Cox PH, Barlow weights",750,0.081846167407253
145,"Cox PH, Prentice weights",750,0.0813565985152922
146,"Cox PH, Self-Prentice weights",750,0.0715051114881923
147,"Cox PH Ridge, Barlow weights",750,0.081846167407253
148,"Cox PH Lasso, Barlow weights",750,0.081846167407253
149,"Cox PH Elastic Net, Barlow weights",750,0.081846167407253
150,"Survival Tree, unweighted",750,0.0515153119266488
151,"Survival Tree, random oversampler",750,0.048114021777711
152,"Survival Tree, SMOTE",750,0.0589572299681881
153,"Random Survival Forest, unweighted",750,0.0417157246288506
154,"Random Survival Forest, random oversampler",750,0.0384781850197858
155,"Random Survival Forest, SMOTE",750,0.0422577962476753
156,Unweighted Cox PH,750,0.0348098567680785
157,"Cox PH, Barlow weights",750,0.0473184226998107
158,"Cox PH, Prentice weights",750,0.0344306592737105
159,"Cox PH, Self-Prentice weights",750,0.0344794395399959
160,"Cox PH Ridge, Barlow weights",750,0.0473184226998107
161,"Cox PH Lasso, Barlow weights",750,0.0473184226998107
162,"Cox PH Elastic Net, Barlow weights",750,0.0473184226998107
163,"Survival Tree, unweighted",750,0.0360136368428459
164,"Survival Tree, random oversampler",750,0.0349580722749323
165,"Survival Tree, SMOTE",750,0.0339692068542418
166,"Random Survival Forest, unweighted",750,0.0260789329805972
167,"Random Survival Forest, random oversampler",750,0.0265109975552464
168,"Random Survival Forest, SMOTE",750,0.0263372412583379
169,Unweighted Cox PH,750,0.1369826698152899
170,"Cox PH, Barlow weights",750,0.0957606909501721
171,"Cox PH, Prentice weights",750,0.1328621481987034
172,"Cox PH, Self-Prentice weights",750,0.0957677476298729
173,"Cox PH Ridge, Barlow weights",750,0.0957606909501721
174,"Cox PH Lasso, Barlow weights",750,0.0957606909501721
175,"Cox PH Elastic Net, Barlow weights",750,0.0957606909501721
176,"Survival Tree, unweighted",750,0.0403277880779322
177,"Survival Tree, random oversampler",750,0.0328305259130601
178,"Survival Tree, SMOTE",750,0.0536880317056635
179,"Random Survival Forest, unweighted",750,0.033553197740159
180,"Random Survival Forest, random oversampler",750,0.0310177332099708
181,"Random Survival Forest, SMOTE",750,0.0328306677731877
182,Unweighted Cox PH,750,0.0760875350407203
183,"Cox PH, Barlow weights",750,0.0878949254099365
184,"Cox PH, Prentice weights",750,0.0902135648109572
185,"Cox PH, Self-Prentice weights",750,0.0583191974547304
186,"Cox PH Ridge, Barlow weights",750,0.0878949254099365
187,"Cox PH Lasso, Barlow weights",750,0.0878949254099365
188,"Cox PH Elastic Net, Barlow weights",750,0.0878949254099365
189,"Survival Tree, unweighted",750,0.0809467276187622
190,"Survival Tree, random oversampler",750,0.0754859821218366
191,"Survival Tree, SMOTE",750,0.080167475345148
192,"Random Survival Forest, unweighted",750,0.0666894109630554
193,"Random Survival Forest, random oversampler",750,0.0642193877107984
194,"Random Survival Forest, SMOTE",750,0.0670052052841283
195,Unweighted Cox PH,750,0.1119286228974841
196,"Cox PH, Barlow weights",750,0.0992944192551866
197,"Cox PH, Prentice weights",750,0.097481156472831
198,"Cox PH, Self-Prentice weights",750,0.1052006522647198
199,"Cox PH Ridge, Barlow weights",750,0.0992944192551866
200,"Cox PH Lasso, Barlow weights",750,0.0992944192551866
201,"Cox PH Elastic Net, Barlow weights",750,0.0992944192551866
202,"Survival Tree, unweighted",750,0.1372043656941729
203,"Survival Tree, random oversampler",750,0.1271416482589289
204,"Survival Tree, SMOTE",750,0.1268148505586853
205,"Random Survival Forest, unweighted",750,0.1032780778140911
206,"Random Survival Forest, random oversampler",750,0.0996206002231763
207,"Random Survival Forest, SMOTE",750,0.1047595625400498
208,Unweighted Cox PH,750,0.0471842285924769
209,"Cox PH, Barlow weights",750,0.0450882762657614
210,"Cox PH, Prentice weights",750,0.0446966091650088
211,"Cox PH, Self-Prentice weights",750,0.0491886336124893
212,"Cox PH Ridge, Barlow weights",750,0.0450882762657614
213,"Cox PH Lasso, Barlow weights",750,0.0450882762657614
214,"Cox PH Elastic Net, Barlow weights",750,0.0450882762657614
215,"Survival Tree, unweighted",750,0.0200191829430902
216,"Survival Tree, random oversampler",750,0.0190866406962046
217,"Survival Tree, SMOTE",750,0.0214788994456776
218,"Random Survival Forest, unweighted",750,0.017017745399181
219,"Random Survival Forest, random oversampler",750,0.0168377156841867
220,"Random Survival Forest, SMOTE",750,0.0175108563497719
221,Unweighted Cox PH,750,0.1067119838199474
222,"Cox PH, Barlow weights",750,0.0869219668758569
223,"Cox PH, Prentice weights",750,0.1029237253521051
224,"Cox PH, Self-Prentice weights",750,0.0853365391658175
225,"Cox PH Ridge, Barlow weights",750,0.0869219668758569
226,"Cox PH Lasso, Barlow weights",750,0.0869219668758569
227,"Cox PH Elastic Net, Barlow weights",750,0.0869219668758569
228,"Survival Tree, unweighted",750,0.0497045291060187
229,"Survival Tree, random oversampler",750,0.0488814164150953
230,"Survival Tree, SMOTE",750,0.0570214315584853
231,"Random Survival Forest, unweighted",750,0.0394029369340384
232,"Random Survival Forest, random oversampler",750,0.0386428686166991
233,"Random Survival Forest, SMOTE",750,0.0437611441946114
234,Unweighted Cox PH,750,0.0668719143878546
235,"Cox PH, Barlow weights",750,0.0657575480199036
236,"Cox PH, Prentice weights",750,0.0646264991197546
237,"Cox PH, Self-Prentice weights",750,0.0553770617604844
238,"Cox PH Ridge, Barlow weights",750,0.0657575480199036
239,"Cox PH Lasso, Barlow weights",750,0.0657575480199036
240,"Cox PH Elastic Net, Barlow weights",750,0.0657575480199036
241,"Survival Tree, unweighted",750,0.0505668880106361
242,"Survival Tree, random oversampler",750,0.0447375780585338
243,"Survival Tree, SMOTE",750,0.0577554944170645
244,"Random Survival Forest, unweighted",750,0.0422813048654186
245,"Random Survival Forest, random oversampler",750,0.0367903121610321
246,"Random Survival Forest, SMOTE",750,0.0456011074711158
247,Unweighted Cox PH,750,0.1073657324865123
248,"Cox PH, Barlow weights",750,0.0908528314729944
249,"Cox PH, Prentice weights",750,0.0873201919800545
250,"Cox PH, Self-Prentice weights",750,0.0975585636329974
251,"Cox PH Ridge, Barlow weights",750,0.0908528314729944
252,"Cox PH Lasso, Barlow weights",750,0.0908528314729944
253,"Cox PH Elastic Net, Barlow weights",750,0.0908528314729944
254,"Survival Tree, unweighted",750,0.0849986085712926
255,"Survival Tree, random oversampler",750,0.0752111879172257
256,"Survival Tree, SMOTE",750,0.095410628398785
257,"Random Survival Forest, unweighted",750,0.0606358527790356
258,"Random Survival Forest, random oversampler",750,0.0624834979568075
259,"Random Survival Forest, SMOTE",750,0.0694529598043908
260,Unweighted Cox PH,750,0.1099663665206028
261,"Cox PH, Barlow weights",750,0.0774581227833085
262,"Cox PH, Prentice weights",750,0.08630618198076
263,"Cox PH, Self-Prentice weights",750,0.0947942928134917
264,"Cox PH Ridge, Barlow weights",750,0.0774581227833085
265,"Cox PH Lasso, Barlow weights",750,0.0774581227833085
266,"Cox PH Elastic Net, Barlow weights",750,0.0774581227833085
267,"Survival Tree, unweighted",750,0.0412227124646951
268,"Survival Tree, random oversampler",750,0.0386611221585585
269,"Survival Tree, SMOTE",750,0.0407702415924801
270,"Random Survival Forest, unweighted",750,0.0314042695917076
271,"Random Survival Forest, random oversampler",750,0.0335815494373345
272,"Random Survival Forest, SMOTE",750,0.0338802786419676
273,Unweighted Cox PH,750,0.1604630705399935
274,"Cox PH, Barlow weights",750,0.1079960190524733
275,"Cox PH, Prentice weights",750,0.1355327131413126
276,"Cox PH, Self-Prentice weights",750,0.0966871732135231
277,"Cox PH Ridge, Barlow weights",750,0.1079960190524733
278,"Cox PH Lasso, Barlow weights",750,0.1079960190524733
279,"Cox PH Elastic Net, Barlow weights",750,0.1079960190524733
280,"Survival Tree, unweighted",750,0.0688417172249003
281,"Survival Tree, random oversampler",750,0.0545718506816097
282,"Survival Tree, SMOTE",750,0.0720558771904907
283,"Random Survival Forest, unweighted",750,0.055205513910586
284,"Random Survival Forest, random oversampler",750,0.0436717442363626
285,"Random Survival Forest, SMOTE",750,0.0543386126895907
286,Unweighted Cox PH,750,0.091018838786503
287,"Cox PH, Barlow weights",750,0.0931259667256797
288,"Cox PH, Prentice weights",750,0.090045998999961
289,"Cox PH, Self-Prentice weights",750,0.077577457906878
290,"Cox PH Ridge, Barlow weights",750,0.0931259667256797
291,"Cox PH Lasso, Barlow weights",750,0.0931259667256797
292,"Cox PH Elastic Net, Barlow weights",750,0.0931259667256797
293,"Survival Tree, unweighted",750,0.0570749140197619
294,"Survival Tree, random oversampler",750,0.0541104463099317
295,"Survival Tree, SMOTE",750,0.0619206221426564
296,"Random Survival Forest, unweighted",750,0.0482704082068975
297,"Random Survival Forest, random oversampler",750,0.0469364011158925
298,"Random Survival Forest, SMOTE",750,0.0518890693466595
299,Unweighted Cox PH,750,0.044476684226549
300,"Cox PH, Barlow weights",750,0.0599799418366668
301,"Cox PH, Prentice weights",750,0.0488179678483791
302,"Cox PH, Self-Prentice weights",750,0.0324526906068277
303,"Cox PH Ridge, Barlow weights",750,0.0599799418366668
304,"Cox PH Lasso, Barlow weights",750,0.0599799418366668
305,"Cox PH Elastic Net, Barlow weights",750,0.0599799418366668
306,"Survival Tree, unweighted",750,0.0465896935494593
307,"Survival Tree, random oversampler",750,0.0396979477477811
308,"Survival Tree, SMOTE",750,0.0479175113796868
309,"Random Survival Forest, unweighted",750,0.038533594158798
310,"Random Survival Forest, random oversampler",750,0.0316090403776993
311,"Random Survival Forest, SMOTE",750,0.0383324373642861
312,Unweighted Cox PH,750,0.0475416088254652
313,"Cox PH, Barlow weights",750,0.0518903046447505
314,"Cox PH, Prentice weights",750,0.0456465716713319
315,"Cox PH, Self-Prentice weights",750,0.0310477817135023
316,"Cox PH Ridge, Barlow weights",750,0.0518903046447505
317,"Cox PH Lasso, Barlow weights",750,0.0518903046447505
318,"Cox PH Elastic Net, Barlow weights",750,0.0518903046447505
319,"Survival Tree, unweighted",750,0.0283251871028224
320,"Survival Tree, random oversampler",750,0.0260476203678506
321,"Survival Tree, SMOTE",750,0.0286796965120912
322,"Random Survival Forest, unweighted",750,0.0230438193874122
323,"Random Survival Forest, random oversampler",750,0.0225844428490092
324,"Random Survival Forest, SMOTE",750,0.0240837008134387
325,Unweighted Cox PH,750,0.039239285386867
326,"Cox PH, Barlow weights",750,0.0389670049633442
327,"Cox PH, Prentice weights",750,0.0332745749603639
328,"Cox PH, Self-Prentice weights",750,0.0487869152079437
329,"Cox PH Ridge, Barlow weights",750,0.0389670049633442
330,"Cox PH Lasso, Barlow weights",750,0.0389670049633442
331,"Cox PH Elastic Net, Barlow weights",750,0.0389670049633442
332,"Survival Tree, unweighted",750,0.0269843866019454
333,"Survival Tree, random oversampler",750,0.023109189090751
334,"Survival Tree, SMOTE",750,0.0337843535139907
335,"Random Survival Forest, unweighted",750,0.0201040981507491
336,"Random Survival Forest, random oversampler",750,0.0199125662710432
337,"Random Survival Forest, SMOTE",750,0.0201624612188366
338,Unweighted Cox PH,750,0.0761637994423463
339,"Cox PH, Barlow weights",750,0.0795649655643006
340,"Cox PH, Prentice weights",750,0.0709345186922794
341,"Cox PH, Self-Prentice weights",750,0.0776884788027799
342,"Cox PH Ridge, Barlow weights",750,0.0795649655643006
343,"Cox PH Lasso, Barlow weights",750,0.0795649655643006
344,"Cox PH Elastic Net, Barlow weights",750,0.0795649655643006
345,"Survival Tree, unweighted",750,0.0413957443009993
346,"Survival Tree, random oversampler",750,0.0382492643814737
347,"Survival Tree, SMOTE",750,0.0465982613382874
348,"Random Survival Forest, unweighted",750,0.0317827414131369
349,"Random Survival Forest, random oversampler",750,0.0315241076545089
350,"Random Survival Forest, SMOTE",750,0.0351497597833902
351,Unweighted Cox PH,750,0.1142933609491603
352,"Cox PH, Barlow weights",750,0.0867750720857975
353,"Cox PH, Prentice weights",750,0.0870616344701616
354,"Cox PH, Self-Prentice weights",750,0.0704020361455281
355,"Cox PH Ridge, Barlow weights",750,0.0867750720857975
356,"Cox PH Lasso, Barlow weights",750,0.0867750720857975
357,"Cox PH Elastic Net, Barlow weights",750,0.0867750720857975
358,"Survival Tree, unweighted",750,0.0541698331555786
359,"Survival Tree, random oversampler",750,0.0496651095930379
360,"Survival Tree, SMOTE",750,0.0567654295739338
361,"Random Survival Forest, unweighted",750,0.0398116404262131
362,"Random Survival Forest, random oversampler",750,0.036363708577782
363,"Random Survival Forest, SMOTE",750,0.0428537667285105
364,Unweighted Cox PH,750,0.0881904753939499
365,"Cox PH, Barlow weights",750,0.0640151376293591
366,"Cox PH, Prentice weights",750,0.0795561109959836
367,"Cox PH, Self-Prentice weights",750,0.049608382523133
368,"Cox PH Ridge, Barlow weights",750,0.0640151376293591
369,"Cox PH Lasso, Barlow weights",750,0.0640151376293591
370,"Cox PH Elastic Net, Barlow weights",750,0.0640151376293591
371,"Survival Tree, unweighted",750,0.0381732397790591
372,"Survival Tree, random oversampler",750,0.0299029999832828
373,"Survival Tree, SMOTE",750,0.0428793828185729
374,"Random Survival Forest, unweighted",750,0.0312156447084645
375,"Random Survival Forest, random oversampler",750,0.025551406790843
376,"Random Survival Forest, SMOTE",750,0.0319443246159808
377,Unweighted Cox PH,750,0.0767933898011128
378,"Cox PH, Barlow weights",750,0.0634337907293735
379,"Cox PH, Prentice weights",750,0.0681876163635629
380,"Cox PH, Self-Prentice weights",750,0.0504568591237819
381,"Cox PH Ridge, Barlow weights",750,0.0634337907293735
382,"Cox PH Lasso, Barlow weights",750,0.0634337907293735
383,"Cox PH Elastic Net, Barlow weights",750,0.0634337907293735
384,"Survival Tree, unweighted",750,0.026644398696474
385,"Survival Tree, random oversampler",750,0.0233606630231103
386,"Survival Tree, SMOTE",750,0.0298805671322604
387,"Random Survival Forest, unweighted",750,0.0217968728344637
388,"Random Survival Forest, random oversampler",750,0.0182121377920059
389,"Random Survival Forest, SMOTE",750,0.0243212952409623
390,Unweighted Cox PH,750,0.0783015673658359
391,"Cox PH, Barlow weights",750,0.0461927700249765
392,"Cox PH, Prentice weights",750,0.0694968997193689
393,"Cox PH, Self-Prentice weights",750,0.0478399909976074
394,"Cox PH Ridge, Barlow weights",750,0.0461927700249765
395,"Cox PH Lasso, Barlow weights",750,0.0461927700249765
396,"Cox PH Elastic Net, Barlow weights",750,0.0461927700249765
397,"Survival Tree, unweighted",750,0.0242109284450151
398,"Survival Tree, random oversampler",750,0.0256567355870471
399,"Survival Tree, SMOTE",750,0.029578858266245
400,"Random Survival Forest, unweighted",750,0.0204486917463061
401,"Random Survival Forest, random oversampler",750,0.019802776891647
402,"Random Survival Forest, SMOTE",750,0.020620520173716
403,Unweighted Cox PH,750,0.0896768231546674
404,"Cox PH, Barlow weights",750,0.0911422737014755
405,"Cox PH, Prentice weights",750,0.0830587908084094
406,"Cox PH, Self-Prentice weights",750,0.0678514860799766
407,"Cox PH Ridge, Barlow weights",750,0.0911422737014755
408,"Cox PH Lasso, Barlow weights",750,0.0911422737014755
409,"Cox PH Elastic Net, Barlow weights",750,0.0911422737014755
410,"Survival Tree, unweighted",750,0.0466024956585595
411,"Survival Tree, random oversampler",750,0.0425058899838936
412,"Survival Tree, SMOTE",750,0.0482654106439899
413,"Random Survival Forest, unweighted",750,0.037078405093799
414,"Random Survival Forest, random oversampler",750,0.0349889595974721
415,"Random Survival Forest, SMOTE",750,0.0364717076944281
416,Unweighted Cox PH,750,0.0959068626633794
417,"Cox PH, Barlow weights",750,0.0986242067805755
418,"Cox PH, Prentice weights",750,0.0929593636755546
419,"Cox PH, Self-Prentice weights",750,0.0741987073779787
420,"Cox PH Ridge, Barlow weights",750,0.0986242067805755
421,"Cox PH Lasso, Barlow weights",750,0.0986242067805755
422,"Cox PH Elastic Net, Barlow weights",750,0.0986242067805755
423,"Survival Tree, unweighted",750,0.087939903926523
424,"Survival Tree, random oversampler",750,0.0724919275727223
425,"Survival Tree, SMOTE",750,0.0922209461853642
426,"Random Survival Forest, unweighted",750,0.0708651936576229
427,"Random Survival Forest, random oversampler",750,0.0673497708012469
428,"Random Survival Forest, SMOTE",750,0.0722550585517336
429,Unweighted Cox PH,750,0.0857366014401262
430,"Cox PH, Barlow weights",750,0.0757979399802678
431,"Cox PH, Prentice weights",750,0.0825615962235685
432,"Cox PH, Self-Prentice weights",750,0.0605098970050014
433,"Cox PH Ridge, Barlow weights",750,0.0757979399802678
434,"Cox PH Lasso, Barlow weights",750,0.0757979399802678
435,"Cox PH Elastic Net, Barlow weights",750,0.0757979399802678
436,"Survival Tree, unweighted",750,0.0510989450056116
437,"Survival Tree, random oversampler",750,0.0559375675277593
438,"Survival Tree, SMOTE",750,0.0558219079685746
439,"Random Survival Forest, unweighted",750,0.0463185885551627
440,"Random Survival Forest, random oversampler",750,0.0473663700043962
441,"Random Survival Forest, SMOTE",750,0.0460656091274298
