,model,obs,score
112,"Survival Tree, random oversampler",750,0.1002411266719055
113,"Survival Tree, SMOTENC",750,0.1181958594874127
114,"Random Survival Forest, unweighted",750,0.0829597300047135
115,"Random Survival Forest, random oversampler",750,0.0690056758759082
116,"Random Survival Forest, SMOTENC",750,0.0702092724816138
117,Unweighted Cox PH,750,0.0463262511026178
118,"Cox PH, Barlow weights",750,0.0798077466702932
119,"Cox PH, Prentice weights",750,0.0611196858914077
120,"Cox PH, Self-Prentice weights",750,0.0542516905203149
121,"Cox PH Ridge, Barlow weights",750,0.0798077466702932
122,"Cox PH Lasso, Barlow weights",750,0.0798077466702932
123,"Cox PH Elastic Net, Barlow weights",750,0.0798077466702932
124,"Survival Tree, unweighted",750,0.1020360308620721
125,"Survival Tree, random oversampler",750,0.1258194681765382
126,"Survival Tree, SMOTENC",750,0.1094796395997377
127,"Random Survival Forest, unweighted",750,0.1071995984562599
128,"Random Survival Forest, random oversampler",750,0.0896058662399164
129,"Random Survival Forest, SMOTENC",750,0.0933569405569512
130,Unweighted Cox PH,750,0.0503374290371616
131,"Cox PH, Barlow weights",750,0.0612567198589601
132,"Cox PH, Prentice weights",750,0.052054135519411
133,"Cox PH, Self-Prentice weights",750,0.0570457119619444
134,"Cox PH Ridge, Barlow weights",750,0.0612567198589601
135,"Cox PH Lasso, Barlow weights",750,0.0612567198589601
136,"Cox PH Elastic Net, Barlow weights",750,0.0612567198589601
137,"Survival Tree, unweighted",750,0.0763311956775088
138,"Survival Tree, random oversampler",750,0.0844357170807081
139,"Survival Tree, SMOTENC",750,0.0881371524590212
140,"Random Survival Forest, unweighted",750,0.0826427418873876
141,"Random Survival Forest, random oversampler",750,0.0624621392156777
142,"Random Survival Forest, SMOTENC",750,0.0706183842132563
143,Unweighted Cox PH,750,0.040351841868032
144,"Cox PH, Barlow weights",750,0.0426363131976162
145,"Cox PH, Prentice weights",750,0.0376875212715275
146,"Cox PH, Self-Prentice weights",750,0.0369367689530459
147,"Cox PH Ridge, Barlow weights",750,0.0426363131976162
148,"Cox PH Lasso, Barlow weights",750,0.0426363131976162
149,"Cox PH Elastic Net, Barlow weights",750,0.0426363131976162
150,"Survival Tree, unweighted",750,0.106212554771052
151,"Survival Tree, random oversampler",750,0.1511826278453814
152,"Survival Tree, SMOTENC",750,0.0989519109557865
153,"Random Survival Forest, unweighted",750,0.1001803266726185
154,"Random Survival Forest, random oversampler",750,0.0767064277602369
155,"Random Survival Forest, SMOTENC",750,0.0787282722120121
156,Unweighted Cox PH,750,0.0403903715879615
157,"Cox PH, Barlow weights",750,0.0445699683989137
158,"Cox PH, Prentice weights",750,0.0427159319569579
159,"Cox PH, Self-Prentice weights",750,0.0411389534494018
160,"Cox PH Ridge, Barlow weights",750,0.0445699683989137
161,"Cox PH Lasso, Barlow weights",750,0.0445699683989137
162,"Cox PH Elastic Net, Barlow weights",750,0.0445699683989137
163,"Survival Tree, unweighted",750,0.152750402061292
164,"Survival Tree, random oversampler",750,0.1370559629586527
165,"Survival Tree, SMOTENC",750,0.1398226179358382
166,"Random Survival Forest, unweighted",750,0.0925601209249465
167,"Random Survival Forest, random oversampler",750,0.0742686006947304
168,"Random Survival Forest, SMOTENC",750,0.0801442060412569
169,Unweighted Cox PH,750,0.047544672843561
170,"Cox PH, Barlow weights",750,0.04489677733389
171,"Cox PH, Prentice weights",750,0.043440540374782
172,"Cox PH, Self-Prentice weights",750,0.0426069569738211
173,"Cox PH Ridge, Barlow weights",750,0.04489677733389
174,"Cox PH Lasso, Barlow weights",750,0.04489677733389
175,"Cox PH Elastic Net, Barlow weights",750,0.04489677733389
176,"Survival Tree, unweighted",750,0.1203985339957122
177,"Survival Tree, random oversampler",750,0.1291867998529655
178,"Survival Tree, SMOTENC",750,0.0891654616147256
179,"Random Survival Forest, unweighted",750,0.0910857229149176
180,"Random Survival Forest, random oversampler",750,0.0690132997584401
181,"Random Survival Forest, SMOTENC",750,0.071876966894744
182,Unweighted Cox PH,750,0.0570180627732282
183,"Cox PH, Barlow weights",750,0.0743659604680818
184,"Cox PH, Prentice weights",750,0.0590293851184845
185,"Cox PH, Self-Prentice weights",750,0.0615835722151213
186,"Cox PH Ridge, Barlow weights",750,0.0743659604680818
187,"Cox PH Lasso, Barlow weights",750,0.0743659604680818
188,"Cox PH Elastic Net, Barlow weights",750,0.0743659604680818
189,"Survival Tree, unweighted",750,0.1410118856015872
190,"Survival Tree, random oversampler",750,0.1371574590430491
